CIS_ID,Deskripsi_Pengecekan,Status_Audit,Catatan/Detail
1.1.2.5.1,Ensure separate partition exists for /var/tmp,FAIL,FAIL: Reason(s) for audit failure: /var/tmp is NOT mounted. 
1.1.1.7,Ensure squashfs kernel module is not available,PASS, , PASS: - kernel module: "squashfs" doesn't exist in "/usr/lib/modules/6.14.0-33-generic/kernel/fs" - kernel module: "squashfs" doesn't exist in "/usr/lib/modules/6.14.0-35-generic/kernel/fs" 
1.1.1.2,Ensure freevxfs kernel module is not available,FAIL,INFO: module freevxfs exists in: - "/usr/lib/modules/6.14.0-33-generic/kernel/fs" - "/usr/lib/modules/6.14.0-35-generic/kernel/fs" , FAIL: Reason(s) for audit failure: - kernel module: "freevxfs" is loadable - kernel module: "freevxfs" is not deny listed , Correctly set: - kernel module: "freevxfs" is not loaded 
1.1.2.2.1,Ensure /dev/shm is a separate partition,PASS,PASS: /dev/shm is currently mounted. Findmnt output: /dev/shm tmpfs tmpfs rw,nosuid,nodev,inode64 
1.1.1.9,Ensure usb storage kernel module is not available,FAIL,INFO: module usb-storage exists in: - "/usr/lib/modules/6.14.0-33-generic/kernel/drivers" - "/usr/lib/modules/6.14.0-35-generic/kernel/drivers" , FAIL: Reason(s) for audit failure: - kernel module: "usb-storage" is loadable - kernel module: "usb-storage" is not deny listed , Correctly set: - kernel module: "usb-storage" is not loaded 
1.1.2.2.4,Ensure noexec option set on /dev/shm partition,FAIL,FAIL: Reason(s) for audit failure: /dev/shm is mounted WITHOUT the 'noexec' option. Findmnt output: /dev/shm tmpfs tmpfs rw,nosuid,nodev,inode64 
1.1.2.6.1,Ensure separate partition exists for /var/log (Automated),FAIL,FAIL: Reason(s) for audit failure: /var/log is NOT mounted. 
1.1.2.1.1,Ensure /tmp is a separate partition,FAIL,FAIL: Reason(s) for audit failure: - /tmp is NOT mounted - tmp.mount has an unexpected status: not-found 
1.1.2.4.2,Ensure nodev option set on /var partition,PASS,PASS: /var mount options correctly include 'nodev'. 
1.1.2.3.1,Ensure separate partition exists for /home,FAIL,FAIL: Reason(s) for audit failure: /home is NOT mounted. 
1.1.2.2.2,Ensure nodev option set on /dev/shm partition,PASS,PASS: /dev/shm mount options correctly include 'nodev'. 
1.1.2.7.3,Ensure nosuid option set on /var/log/audit partition (Automated),PASS,PASS: /var/log/audit mount options correctly include 'nosuid'. 
1.1.2.1.4,Ensure noexec option set on /tmp partition,PASS,PASS: /tmp mount options correctly include 'noexec'. 
1.1.2.1.2,Ensure nodev option set on /tmp partition,PASS,PASS: /tmp mount options correctly include 'nodev'. 
1.1.2.2.3,Ensure nosuid option set on /dev/shm partition,PASS,PASS: /dev/shm mount options correctly include 'nosuid'. 
1.1.2.6.3,Ensure nosuid option set on /var/log partition,PASS,PASS: /var/log mount options correctly include 'nosuid'. 
1.1.2.7.4,Ensure noexec option set on /var/log/audit partition,PASS,PASS: /var/log/audit mount options correctly include 'noexec'. 
1.1.2.1.3,Ensure nosuid option set on /tmp partition,PASS,PASS: /tmp mount options correctly include 'nosuid'. 
1.1.1.1,Ensure cramfs kernel module is not available,FAIL,INFO: module cramfs exists in: - "/usr/lib/modules/6.14.0-33-generic/kernel/fs" - "/usr/lib/modules/6.14.0-35-generic/kernel/fs" , FAIL: Reason(s) for audit failure: - kernel module: "cramfs" is loadable - kernel module: "cramfs" is not deny listed , Correctly set: - kernel module: "cramfs" is not loaded 
1.1.2.5.3,Ensure nosuid option set on /var/tmp partition,PASS,PASS: /var/tmp mount options correctly include 'nosuid'. 
1.1.2.6.4,Ensure noexec option set on /var/log partition,PASS,PASS: /var/log mount options correctly include 'noexec'. 
1.1.1.3,Ensure hfs kernel module is not available,FAIL,INFO: module hfs exists in: - "/usr/lib/modules/6.14.0-33-generic/kernel/fs" - "/usr/lib/modules/6.14.0-35-generic/kernel/fs" , FAIL: Reason(s) for audit failure: - kernel module: "hfs" is loadable - kernel module: "hfs" is not deny listed , Correctly set: - kernel module: "hfs" is not loaded 
1.1.2.3.2,Ensure nodev option set on /home partition,PASS,PASS: /home mount options correctly include 'nodev'. 
1.1.2.4.1,Ensure separate partition exists for /var,FAIL,FAIL: Reason(s) for audit failure: /var is NOT mounted. 
1.1.2.4.3,Ensure nosuid option set on /var partition,PASS,PASS: /var mount options correctly include 'nosuid'. 
1.1.1.6,Ensure overlayfs kernel module is not available,FAIL,INFO: module overlayfs exists in: - "/usr/lib/modules/6.14.0-33-generic/kernel/fs" - "/usr/lib/modules/6.14.0-35-generic/kernel/fs" , FAIL: Reason(s) for audit failure: - kernel module: "overlayfs" is loaded - kernel module: "overlayfs" is loadable - kernel module: "overlayfs" is not deny listed 
1.1.2.5.4,Ensure noexec option set on /var/tmp partition,PASS,PASS: /var/tmp mount options correctly include 'noexec'. 
1.1.1.8,Ensure udf kernel module is not available,FAIL,INFO: module udf exists in: - "/usr/lib/modules/6.14.0-33-generic/kernel/fs" - "/usr/lib/modules/6.14.0-35-generic/kernel/fs" , FAIL: Reason(s) for audit failure: - kernel module: "udf" is loadable - kernel module: "udf" is not deny listed , Correctly set: - kernel module: "udf" is not loaded 
1.1.1.5,Ensure jffs2 kernel module is not available,FAIL,INFO: module jffs2 exists in: - "/usr/lib/modules/6.14.0-33-generic/kernel/fs" - "/usr/lib/modules/6.14.0-35-generic/kernel/fs" , FAIL: Reason(s) for audit failure: - kernel module: "jffs2" is loadable - kernel module: "jffs2" is not deny listed , Correctly set: - kernel module: "jffs2" is not loaded 
1.1.2.3.3,Ensure nosuid option set on /home partition,PASS,PASS: /home mount options correctly include 'nosuid'. 
1.1.2.7.1,Ensure separate partition exists for /var/log/audit,FAIL,FAIL: Reason(s) for audit failure: /var/log/audit is NOT mounted. 
1.1.2.7.2,Ensure nodev option set on /var/log/audit partition (Automated),PASS,PASS: /var/log/audit mount options correctly include 'nodev'. 
1.1.1.4,Ensure hfsplus kernel module is not available,FAIL,INFO: module hfsplus exists in: - "/usr/lib/modules/6.14.0-33-generic/kernel/fs" - "/usr/lib/modules/6.14.0-35-generic/kernel/fs" , FAIL: Reason(s) for audit failure: - kernel module: "hfsplus" is loadable - kernel module: "hfsplus" is not deny listed , Correctly set: - kernel module: "hfsplus" is not loaded 
1.1.2.6.2,Ensure nodev option set on /var/log partition,PASS,PASS: /var/log mount options correctly include 'nodev'. 
1.1.1.10,Ensure unused filesystems kernel modules are not available,FAIL, , FAIL: Reason(s) for audit failure: - Kernel module: "cachefiles" is not fully disabled - Kernel module: "minix" is not fully disabled - Kernel module: "gfs2" is not fully disabled <- CVE exists! - Kernel module: "nfsd" is not fully disabled - Kernel module: "befs" is not fully disabled - Kernel module: "omfs" is not fully disabled - Kernel module: "cramfs" is not fully disabled - Kernel module: "efs" is not fully disabled - Kernel module: "vboxsf" is not fully disabled - Kernel module: "ufs" is not fully disabled - Kernel module: "9p" is not fully disabled - Kernel module: "ntfs3" is not fully disabled - Kernel module: "bcachefs" is not fully disabled - Kernel module: "btrfs" is not fully disabled - Kernel module: "fat" is not fully disabled <- CVE exists! - Kernel module: "overlay" is not fully disabled - Kernel module: "dlm" is not fully disabled - Kernel module: "qnx4" is not fully disabled - Kernel module: "nfs" is not fully disabled - Kernel module: "erofs" is not fully disabled - Kernel module: "ubifs" is not fully disabled - Kernel module: "netfs" is not fully disabled - Kernel module: "hfs" is not fully disabled - Kernel module: "romfs" is not fully disabled - Kernel module: "affs" is not fully disabled - Kernel module: "ocfs2" is not fully disabled - Kernel module: "nilfs2" is not fully disabled - Kernel module: "sysv" is not fully disabled - Kernel module: "nfs_common" is not fully disabled - Kernel module: "lockd" is not fully disabled - Kernel module: "afs" is not fully disabled <- CVE exists! - Kernel module: "isofs" is not fully disabled - Kernel module: "jfs" is not fully disabled - Kernel module: "autofs" is not fully disabled - Kernel module: "coda" is not fully disabled - Kernel module: "hpfs" is not fully disabled - Kernel module: "freevxfs" is not fully disabled - Kernel module: "exfat" is not fully disabled <- CVE exists! - Kernel module: "udf" is not fully disabled - Kernel module: "ceph" is not fully disabled <- CVE exists! - Kernel module: "adfs" is not fully disabled - Kernel module: "hfsplus" is not fully disabled - Kernel module: "orangefs" is not fully disabled - Kernel module: "jffs2" is not fully disabled - Kernel module: "zonefs" is not fully disabled - Kernel module: "qnx6" is not fully disabled - Kernel module: "nls" is not fully disabled - Kernel module: "pstore" is not fully disabled - Kernel module: "f2fs" is not fully disabled - Kernel module: "smb" is not fully disabled - Kernel module: "bfs" is not fully disabled - Kernel module: "quota" is not fully disabled 
1.1.2.5.2,Ensure nodev option set on /var/tmp partition,PASS,PASS: /var/tmp mount options correctly include 'nodev'. 
